ticker,score,recommendation,entry_price,stop_loss,target_price,risk_reward,position_size_pct,gap_percent,volume_multiple,eps_surprise_pct,adr_percent,atr_percent,ma_cluster_quality,industry_rank_pct,is_disqualified,disqualification_reason,scan_date
GCL,48.7,pass,1.19,1.07,1.4,1.75,0.0,13.08,696.11,,8.76,7.82,loose,,False,,2026-02-01 14:02:26.707936
HTH,0.0,pass,,,,,0.0,,,49.53,2.17,2.27,loose,,True,ADR% 2.2% < 6.0% minimum; ATR% 2.3% < 7.0% minimum,2026-02-01 14:02:27.404474
NIDB,0.0,pass,,,,,0.0,,,,0.57,1.24,loose,,True,ADR% 0.6% < 6.0% minimum; ATR% 1.2% < 7.0% minimum,2026-02-01 14:02:28.111595
FTII,0.0,pass,,,,,0.0,,,,0.0,0.0,tight,,True,ADR% 0.0% < 6.0% minimum; ATR% 0.0% < 7.0% minimum,2026-02-01 14:02:32.340439
APD,0.0,pass,,,,,0.0,,,2.73,2.14,2.29,loose,77.8,True,ADR% 2.1% < 6.0% minimum; ATR% 2.3% < 7.0% minimum,2026-02-01 14:02:33.956332
VZ,0.0,pass,,,,,0.0,,,0.43,1.91,2.0,tight,,True,ADR% 1.9% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:02:34.253493
STEL,0.0,pass,,,,,0.0,10.79,13.88,-0.7,2.54,2.85,moderate,,True,ADR% 2.5% < 6.0% minimum; ATR% 2.9% < 7.0% minimum,2026-02-01 14:02:34.945459
CHD,0.0,pass,,,,,0.0,,,1.78,2.23,2.26,loose,85.7,True,ADR% 2.2% < 6.0% minimum; ATR% 2.3% < 7.0% minimum,2026-02-01 14:02:36.246998
AON,0.0,pass,,,,,0.0,,,1.44,2.01,2.03,moderate,,True,ADR% 2.0% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:02:37.191049
GNTX,0.0,pass,,,,,0.0,,,-1.13,2.56,2.7,moderate,,True,ADR% 2.6% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:02:37.895572
WT,0.0,pass,,,,,0.0,,,20.68,4.06,3.8,loose,,True,ADR% 4.1% < 6.0% minimum; ATR% 3.8% < 7.0% minimum,2026-02-01 14:02:38.829878
IESC,38.4,pass,380.29,426.16,448.74,,0.0,-10.27,3.92,-4.78,6.04,7.81,loose,,False,,2026-02-01 14:02:39.493826
REGN,0.0,pass,,,,,0.0,,,5.52,2.82,2.9,moderate,25.0,True,ADR% 2.8% < 6.0% minimum; ATR% 2.9% < 7.0% minimum,2026-02-01 14:02:41.965161
VRTS,0.0,pass,,,,,0.0,,,-3.15,2.56,2.67,moderate,,True,ADR% 2.6% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:02:42.973150
RAVE,0.0,pass,,,,,0.0,,,,3.83,3.66,loose,,True,ADR% 3.8% < 6.0% minimum; ATR% 3.7% < 7.0% minimum,2026-02-01 14:02:43.649267
FHB,0.0,pass,,,,,0.0,,,0.61,3.04,3.13,loose,,True,ADR% 3.0% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:02:44.419816
CCEC,0.0,pass,,,,,0.0,,,-16.65,2.91,3.03,moderate,,True,ADR% 2.9% < 6.0% minimum; ATR% 3.0% < 7.0% minimum,2026-02-01 14:02:45.102116
EEIQ,27.5,pass,0.23,0.26,0.27,,0.0,,,,9.51,10.36,loose,,False,,2026-02-01 14:02:46.132145
CHTR,0.0,pass,,,,,0.0,,,2.51,4.05,4.13,loose,40.0,True,ADR% 4.0% < 6.0% minimum; ATR% 4.1% < 7.0% minimum,2026-02-01 14:02:48.425581
NATH,0.0,pass,,,,,0.0,,,,1.36,1.82,loose,,True,ADR% 1.4% < 6.0% minimum; ATR% 1.8% < 7.0% minimum,2026-02-01 14:02:49.094685
CL,0.0,pass,,,,,0.0,,,1.12,1.91,1.98,loose,100.0,True,ADR% 1.9% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:02:49.422354
FBAK,0.0,pass,,,,,0.0,,,,1.69,1.68,loose,,True,ADR% 1.7% < 6.0% minimum; ATR% 1.7% < 7.0% minimum,2026-02-01 14:02:50.107241
BNCC,0.0,pass,,,,,0.0,,,,1.4,1.52,loose,,True,ADR% 1.4% < 6.0% minimum; ATR% 1.5% < 7.0% minimum,2026-02-01 14:02:50.720777
PTBS,0.0,pass,,,,,0.0,,,,0.35,1.23,tight,,True,ADR% 0.3% < 6.0% minimum; ATR% 1.2% < 7.0% minimum,2026-02-01 14:02:51.387747
ICCT,26.9,pass,,,,,0.0,,,-100.0,7.14,28.57,loose,,False,,2026-02-01 14:02:52.446716
FKYS,0.0,pass,,,,,0.0,,,,0.38,0.65,loose,,True,ADR% 0.4% < 6.0% minimum; ATR% 0.7% < 7.0% minimum,2026-02-01 14:02:55.997452
LYB,0.0,pass,,,,,0.0,,,-299.69,3.9,4.16,loose,62.5,True,ADR% 3.9% < 6.0% minimum; ATR% 4.2% < 7.0% minimum,2026-02-01 14:02:57.114778
BEN,0.0,pass,,,,,0.0,,,26.1,2.49,2.55,loose,100.0,True,ADR% 2.5% < 6.0% minimum; ATR% 2.5% < 7.0% minimum,2026-02-01 14:02:58.537319
AXP,0.0,pass,,,,,0.0,,,-1.23,2.04,2.66,moderate,,True,ADR% 2.0% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:02:59.323218
MCHB,0.0,pass,,,,,0.0,,,111.16,3.51,3.56,tight,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.6% < 7.0% minimum,2026-02-01 14:03:00.267382
ARCB,0.0,pass,,,,,0.0,,,-12.77,3.91,3.92,loose,,True,ADR% 3.9% < 6.0% minimum; ATR% 3.9% < 7.0% minimum,2026-02-01 14:03:01.020557
MLEC,29.2,pass,6.5,5.33,7.67,1.0,0.0,,,1.96,44.02,31.44,loose,,False,,2026-02-01 14:03:01.726364
CVX,0.0,pass,,,,,0.0,,,3.16,1.71,1.74,loose,85.7,True,ADR% 1.7% < 6.0% minimum; ATR% 1.7% < 7.0% minimum,2026-02-01 14:03:03.319787
BEPC,0.0,pass,,,,,0.0,,,100.0,3.06,2.97,tight,42.9,True,ADR% 3.1% < 6.0% minimum; ATR% 3.0% < 7.0% minimum,2026-02-01 14:03:04.556962
CZFS,0.0,pass,,,,,0.0,,,16.42,5.76,5.58,loose,,True,ADR% 5.8% < 6.0% minimum; ATR% 5.6% < 7.0% minimum,2026-02-01 14:03:05.245810
SOFI,0.0,pass,,,,,0.0,,,10.17,4.36,4.89,loose,33.3,True,ADR% 4.4% < 6.0% minimum; ATR% 4.9% < 7.0% minimum,2026-02-01 14:03:06.943349
BCBP,0.0,pass,,,,,0.0,,,-463.71,2.59,2.63,moderate,,True,ADR% 2.6% < 6.0% minimum; ATR% 2.6% < 7.0% minimum,2026-02-01 14:03:08.484702
XOM,0.0,pass,,,,,0.0,,,0.49,1.82,1.97,loose,100.0,True,ADR% 1.8% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:03:08.859229
FLG,0.0,pass,,,,,0.0,,,176.5,3.1,3.07,loose,,True,ADR% 3.1% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:03:09.588683
ALV,0.0,pass,,,,,0.0,,,8.74,2.02,2.56,loose,55.6,True,ADR% 2.0% < 6.0% minimum; ATR% 2.6% < 7.0% minimum,2026-02-01 14:03:10.849072
SIF,0.0,pass,,,,,0.0,,,-85.15,4.8,5.11,loose,,True,ADR% 4.8% < 6.0% minimum; ATR% 5.1% < 7.0% minimum,2026-02-01 14:03:11.539125
JHG,0.0,pass,,,,,0.0,,,72.12,0.54,0.55,loose,,True,ADR% 0.5% < 6.0% minimum; ATR% 0.6% < 7.0% minimum,2026-02-01 14:03:12.212331
SRBK,0.0,pass,,,,,0.0,,,,2.41,2.5,loose,,True,ADR% 2.4% < 6.0% minimum; ATR% 2.5% < 7.0% minimum,2026-02-01 14:03:12.916474
XRX,25.3,pass,2.19,2.37,2.58,,0.0,,,-199.01,7.21,8.51,loose,,False,,2026-02-01 14:03:13.932198
BZH,0.0,pass,,,,,0.0,-14.87,5.8,-89.59,4.04,4.92,loose,,True,ADR% 4.0% < 6.0% minimum; ATR% 4.9% < 7.0% minimum,2026-02-01 14:03:14.783711
DOV,0.0,pass,,,,,0.0,,,0.03,1.99,2.14,loose,,True,ADR% 2.0% < 6.0% minimum; ATR% 2.1% < 7.0% minimum,2026-02-01 14:03:15.483939
KLAC,0.0,pass,,,,,0.0,,,-1.43,4.32,5.62,loose,25.0,True,ADR% 4.3% < 6.0% minimum; ATR% 5.6% < 7.0% minimum,2026-02-01 14:03:16.604357
PHM,0.0,pass,,,,,0.0,,,1.29,2.98,3.09,loose,80.0,True,ADR% 3.0% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:03:18.188256
SXI,0.0,pass,,,,,0.0,,,4.8,3.76,3.84,loose,,True,ADR% 3.8% < 6.0% minimum; ATR% 3.8% < 7.0% minimum,2026-02-01 14:03:18.946858
SILC,56.4,watch,18.11,15.44,21.37,1.22,1.4,16.2,18.19,9.43,9.24,9.11,loose,,False,,2026-02-01 14:03:19.609035
HON,0.0,pass,,,,,0.0,,,0.97,1.81,1.99,loose,,True,ADR% 1.8% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:03:20.376471
BIPC,0.0,pass,,,,,0.0,,,,2.52,2.39,tight,,True,ADR% 2.5% < 6.0% minimum; ATR% 2.4% < 7.0% minimum,2026-02-01 14:03:26.665134
NEWT,0.0,pass,,,,,0.0,,,-6.52,4.34,4.57,loose,,True,ADR% 4.3% < 6.0% minimum; ATR% 4.6% < 7.0% minimum,2026-02-01 14:03:27.524686
DHCC,0.0,pass,,,,,0.0,,,,2.38,4.46,loose,,True,ADR% 2.4% < 6.0% minimum; ATR% 4.5% < 7.0% minimum,2026-02-01 14:03:30.642501
PDEX,0.0,pass,,,,,0.0,,,9.67,5.08,5.26,loose,,True,ADR% 5.1% < 6.0% minimum; ATR% 5.3% < 7.0% minimum,2026-02-01 14:03:31.272711
PMT,0.0,pass,,,,,0.0,,,19.67,3.01,3.34,loose,,True,ADR% 3.0% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:03:31.941010
IROQ,0.0,pass,,,,,0.0,,,,0.8,0.89,moderate,,True,ADR% 0.8% < 6.0% minimum; ATR% 0.9% < 7.0% minimum,2026-02-01 14:03:32.579892
PH,0.0,pass,,,,,0.0,,,3.57,1.82,2.03,loose,11.1,True,ADR% 1.8% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:03:34.040716
VLY,0.0,pass,,,,,0.0,,,6.57,2.84,2.88,loose,,True,ADR% 2.8% < 6.0% minimum; ATR% 2.9% < 7.0% minimum,2026-02-01 14:03:34.811475
RGBP,28.6,pass,0.01,0.01,0.01,,0.0,,,,38.82,34.62,loose,,False,,2026-02-01 14:03:46.976346
DECK,0.0,pass,,,,,0.0,15.02,3.45,18.17,3.7,3.88,loose,88.9,True,ADR% 3.7% < 6.0% minimum; ATR% 3.9% < 7.0% minimum,2026-02-01 14:03:48.591216
FFWM,0.0,pass,,,,,0.0,,,-230.72,3.46,3.53,loose,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:03:49.201741
JBSS,0.0,pass,,,,,0.0,,,10.45,2.77,2.54,moderate,,True,ADR% 2.8% < 6.0% minimum; ATR% 2.5% < 7.0% minimum,2026-02-01 14:03:49.871903
HZO,0.0,pass,,,,,0.0,,,-230.71,4.82,5.2,loose,,True,ADR% 4.8% < 6.0% minimum; ATR% 5.2% < 7.0% minimum,2026-02-01 14:03:50.772082
FBTT,0.0,pass,,,,,0.0,,,,1.74,1.61,loose,,True,ADR% 1.7% < 6.0% minimum; ATR% 1.6% < 7.0% minimum,2026-02-01 14:03:53.864981
MA,0.0,pass,,,,,0.0,,,8.79,2.18,2.39,loose,,True,ADR% 2.2% < 6.0% minimum; ATR% 2.4% < 7.0% minimum,2026-02-01 14:03:54.538672
FHI,0.0,pass,,,,,0.0,,,15.34,2.67,2.7,loose,,True,ADR% 2.7% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:03:55.192749
FLWS,56.7,watch,4.32,4.26,5.1,13.0,2.4,12.38,7.29,36.8,7.84,8.42,loose,,False,,2026-02-01 14:03:55.821862
ABCB,0.0,pass,,,,,0.0,,,-0.93,3.25,3.15,loose,,True,ADR% 3.2% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:03:56.527193
GSIT,28.6,pass,7.22,7.57,8.52,,0.0,,,,13.42,13.67,loose,,False,,2026-02-01 14:03:57.089419
CFNB,0.0,pass,,,,,0.0,,,101.11,1.39,1.54,loose,,True,ADR% 1.4% < 6.0% minimum; ATR% 1.5% < 7.0% minimum,2026-02-01 14:03:57.657539
ZKIN,28.6,pass,1.65,1.68,1.95,,0.0,,,,16.84,16.74,loose,,False,,2026-02-01 14:03:58.375998
AMP,0.0,pass,,,,,0.0,,,3.88,2.55,2.74,loose,,True,ADR% 2.5% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:03:59.053629
CODA,35.3,pass,10.65,10.4,12.57,7.68,0.0,,,29.68,8.22,8.46,loose,,False,,2026-02-01 14:03:59.601510
RMD,0.0,pass,,,,,0.0,,,2.15,2.69,2.62,moderate,,True,ADR% 2.7% < 6.0% minimum; ATR% 2.6% < 7.0% minimum,2026-02-01 14:04:00.170675
HTLD,0.0,pass,,,,,0.0,,,14.73,2.94,3.22,loose,,True,ADR% 2.9% < 6.0% minimum; ATR% 3.2% < 7.0% minimum,2026-02-01 14:04:00.739802
FPH,0.0,pass,,,,,0.0,,,,3.06,3.47,moderate,,True,ADR% 3.1% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:04:01.308351
CMCSA,0.0,pass,,,,,0.0,,,8.05,2.99,2.86,loose,,True,ADR% 3.0% < 6.0% minimum; ATR% 2.9% < 7.0% minimum,2026-02-01 14:04:01.588193
HIG,0.0,pass,,,,,0.0,,,24.99,1.76,1.73,loose,55.6,True,ADR% 1.8% < 6.0% minimum; ATR% 1.7% < 7.0% minimum,2026-02-01 14:04:02.650043
ALGM,0.0,pass,,,,,0.0,,,2.67,5.28,5.06,loose,,True,ADR% 5.3% < 6.0% minimum; ATR% 5.1% < 7.0% minimum,2026-02-01 14:04:03.248892
HOLX,0.0,pass,,,,,0.0,,,-6.63,0.3,0.31,tight,60.0,True,ADR% 0.3% < 6.0% minimum; ATR% 0.3% < 7.0% minimum,2026-02-01 14:04:04.135380
CSW,0.0,pass,,,,,0.0,,,-27.05,4.03,4.98,loose,,True,ADR% 4.0% < 6.0% minimum; ATR% 5.0% < 7.0% minimum,2026-02-01 14:04:04.722836
BX,0.0,pass,,,,,0.0,,,10.68,2.97,3.34,moderate,30.0,True,ADR% 3.0% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:04:04.981357
OSK,0.0,pass,,,,,0.0,,,-3.19,3.49,3.6,loose,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.6% < 7.0% minimum,2026-02-01 14:04:05.538519
DOW,0.0,pass,,,,,0.0,,,27.47,3.63,3.85,loose,87.5,True,ADR% 3.6% < 6.0% minimum; ATR% 3.9% < 7.0% minimum,2026-02-01 14:04:05.851235
LHX,0.0,pass,,,,,0.0,,,2.44,3.01,3.13,loose,70.0,True,ADR% 3.0% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:04:07.063533
TAL,0.0,pass,,,,,0.0,10.22,4.47,243.88,4.85,5.0,tight,,True,ADR% 4.8% < 6.0% minimum; ATR% 5.0% < 7.0% minimum,2026-02-01 14:04:07.590467
CAT,0.0,pass,,,,,0.0,,,9.27,2.93,2.95,loose,66.7,True,ADR% 2.9% < 6.0% minimum; ATR% 3.0% < 7.0% minimum,2026-02-01 14:04:08.080226
CIVB,0.0,pass,,,,,0.0,,,28.21,3.51,3.34,tight,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:04:08.577411
GPI,0.0,pass,,,,,0.0,,,-10.65,3.02,3.52,tight,,True,ADR% 3.0% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:04:09.110470
INBK,0.0,pass,,,,,0.0,,,10.61,5.65,5.65,loose,,True,ADR% 5.7% < 6.0% minimum; ATR% 5.7% < 7.0% minimum,2026-02-01 14:04:10.080529
ULBI,0.0,pass,,,,,0.0,,,-131.19,5.7,5.68,loose,,True,ADR% 5.7% < 6.0% minimum; ATR% 5.7% < 7.0% minimum,2026-02-01 14:04:10.580142
PBLA,0.0,pass,,,,,0.0,,,-19.92,0.0,6.7,loose,,True,ADR% 0.0% < 6.0% minimum; ATR% 6.7% < 7.0% minimum,2026-02-01 14:04:11.293352
AAPL,0.0,pass,,,,,0.0,,,4.19,2.16,2.26,loose,83.3,True,ADR% 2.2% < 6.0% minimum; ATR% 2.3% < 7.0% minimum,2026-02-01 14:04:12.397109
CNOB,0.0,pass,,,,,0.0,,,11.77,3.23,3.29,loose,,True,ADR% 3.2% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:04:12.950083
BIP,0.0,pass,,,,,0.0,,,248.7,2.1,2.05,tight,,True,ADR% 2.1% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:04:13.681846
SBFG,0.0,pass,,,,,0.0,,,-0.43,3.55,3.54,tight,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:04:14.267506
